method	category	expected_repetitions	attempted_repetitions	missing_repetitions_penalised_as_zero	ok_repetitions	executable_suites_pct	line_mean_penalised	line_mean_non_penalised	branch_mean_penalised	branch_mean_non_penalised	mutation_mean_penalised	mutation_mean_non_penalised	source
EvoSuite	Non-AI	550	550	0	509	92.5455	59.1379	63.9015	30.1108	46.7823	32.6982	39.1808	/home/jpaiva/projetos/nonAI/java_workflow/out/_night_sf110_evosuite_109x5_cfg180_t200_20260406
Randoop	Non-AI	550	550	0	539	98.0000	46.4622	46.9747	16.1518	16.3300	21.0288	22.9026	/home/jpaiva/projetos/nonAI/java_workflow/out/_final_sf110_randoop_20260403_114624; 26_jipa rescued structural reporting
GPT-4o	IAEdu LLM	550	550	0	550	100.0000	42.7327	42.7327	14.8083	14.8083	23.8417	23.8417	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_FINAL_EFFECTIVE_gpt4o_sf110_bytecode_v2_110x5_stage38_39_40_closed/final_effective_combined_index.tsv
GPT-5.5	IAEdu LLM	550	550	0	535	97.2727	57.2085	58.8125	30.6325	31.4914	41.9365	43.1123	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_rerun_gpt55_sf110_java_110suts_x5_stage14c/dataset_summary.tsv
CodeLlama	Cluster LLM	550	550	0	244	44.3636	11.5377	26.0071	2.1973	4.9530	4.7999	10.8194	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_FINAL_EFFECTIVE_cluster_sf110_try1_V3_PIT_20260613_082636/final_model_summary.tsv
Codestral	Cluster LLM	550	550	0	259	47.0909	13.0492	27.7106	2.6794	5.6898	5.7740	12.2615	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_FINAL_EFFECTIVE_cluster_sf110_try1_V3_PIT_20260613_082636/final_model_summary.tsv
DeepSeek-Coder-V2	Cluster LLM	550	550	0	188	34.1818	10.1436	29.6755	2.2373	6.5454	4.1563	12.1593	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_FINAL_EFFECTIVE_cluster_sf110_try1_V3_PIT_20260613_082636/final_model_summary.tsv
DeepSeek-V2	Cluster LLM	550	550	0	114	20.7273	5.0337	24.2855	0.6757	3.2601	2.5590	12.3461	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_FINAL_EFFECTIVE_cluster_sf110_try1_V3_PIT_20260613_082636/final_model_summary.tsv
Qwen2.5-Coder	Cluster LLM	550	550	0	396	72.0000	23.0895	32.0688	5.3677	7.4551	10.1869	14.1485	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_FINAL_EFFECTIVE_cluster_sf110_try1_V3_PIT_20260613_082636/final_model_summary.tsv
Qwen3-Coder	Cluster LLM	550	550	0	381	69.2727	25.9451	37.4536	6.5265	9.4214	11.4515	16.5311	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_FINAL_EFFECTIVE_cluster_sf110_try1_V3_PIT_20260613_082636/final_model_summary.tsv
Qwen3.5	Cluster LLM	550	550	0	205	37.2727	11.2480	30.1776	2.6522	7.1156	4.8705	13.0672	/home/jpaiva/projetos/llm_test_generation_gpt4o/sf110_gpt4o/out/_FINAL_EFFECTIVE_cluster_sf110_try1_V3_PIT_20260613_082636/final_model_summary.tsv
